protocol,threads,avg_throughput,avg_s_avg,avg_s_p50,avg_s_p99,avg_w_avg,avg_w_p50,avg_w_p99,avg_lat
raft-baseline,1,1775.28,37.36,37.36,37.36,0,37.36,37.36,37.36
raft-baseline,2,3435.14,37.70,37.70,37.70,0,37.70,37.70,37.70
raft-baseline,4,6189.58,39.00,39.00,39.00,0,39.00,39.00,39.00
raft-baseline,8,8775.06,48.91,48.91,48.91,0,48.91,48.91,44.91
raft-baseline,16,13295.41,59.90,59.90,59.90,0,59.90,59.90,51.90
raft-baseline,32,21677.91,55.87,55.87,55.87,0,55.87,55.87,63.87
raft-baseline,64,21951.60,90.31,90.31,90.31,0,90.31,90.31,134.31
raft-baseline,96,21433.77,135.19,135.19,135.19,0,135.19,135.19,200.19
raftht,1,3327.71,38.19,38.19,38.19,2.10,2.10,2.10,20.14
raftht,2,6170.54,38.31,38.31,38.31,1.95,1.95,1.95,20.12
raftht,4,10424.57,40.96,40.96,40.96,1.97,1.97,1.97,21.46
raftht,8,15644.71,51.00,51.00,51.00,2.46,2.46,2.46,26.73
raftht,16,26381.34,55.99,55.99,55.99,3.32,3.32,3.32,29.65
raftht,32,37476.24,61.51,61.51,61.51,7.49,7.49,7.49,34.49
raftht,64,38204.79,90.15,90.15,90.15,16.98,16.98,16.98,53.56
raftht,96,37507.66,141.35,141.35,141.35,32.51,32.51,32.51,86.92
epaxos-baseline,1,965.43,62.65,62.65,62.65,0,62.65,62.65,62.65
epaxos-baseline,2,1739.62,69.40,69.40,69.40,0,69.40,69.40,62.40
epaxos-baseline,4,3574.11,71.53,71.53,71.53,0,71.53,71.53,64.53
epaxos-baseline,8,7102.46,66.27,66.27,66.27,0,66.27,66.27,66.27
epaxos-baseline,16,13300.22,74.24,74.24,74.24,0,74.24,74.24,74.24
epaxos-baseline,32,22520.81,77.70,77.70,77.70,0,77.70,77.70,77.70
epaxos-baseline,64,30744.92,98.15,98.15,98.15,0,98.15,98.15,98.15
epaxos-baseline,96,32665.04,131.73,131.73,131.73,0,131.73,131.73,131.73
