protocol,op_type,count,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9
CURP-HO,strong_read,736496,29.46,59.88,75.62,95.51,99.72,100.25,144.41,165.20,246.24,593.03
CURP-HO,strong_write,46778,28.79,60.25,75.67,95.89,99.73,100.29,145.03,166.38,249.42,894.90
CURP-HO,weak_read,768026,0.05,0.09,0.14,0.30,1.16,5.90,17.74,28.34,63.61,100.64
CURP-HO,weak_write,48700,0.06,0.09,0.12,0.18,0.30,0.59,1.73,3.46,9.05,100.25
CURP-HT,strong_read,737022,3.43,15.56,23.64,73.26,79.93,99.69,112.38,134.30,191.12,497.25
CURP-HT,strong_write,46923,3.65,16.56,23.78,73.05,79.91,99.70,111.89,133.23,185.97,465.15
CURP-HT,weak_read,766447,0.04,0.07,0.10,0.19,0.37,1.15,7.82,17.73,36.36,195.06
CURP-HT,weak_write,49608,3.69,15.32,23.66,93.86,99.88,287.25,811.76,1050.35,1050.60,1053.89
Raft-HT,strong_read,736795,63.85,75.56,83.97,104.33,116.46,151.04,177.75,190.20,213.47,238.01
Raft-HT,strong_write,47166,63.63,75.45,83.99,104.34,116.56,150.96,177.76,190.12,212.94,237.65
Raft-HT,weak_read,766808,0.04,0.05,0.06,0.08,0.13,0.20,0.39,0.67,1.54,8.68
Raft-HT,weak_write,49231,1.97,4.17,7.18,30.40,53.03,65.44,93.44,108.15,137.15,165.50
CURP (baseline),strong_read,1503699,3.75,20.64,50.88,93.37,99.71,99.99,100.70,123.28,177.25,325.35
CURP (baseline),strong_write,96301,3.74,20.69,50.78,93.37,99.71,99.99,100.73,124.02,178.25,328.95
Raft,strong_read,1503490,76.63,78.74,79.85,112.78,136.04,156.47,173.46,184.37,207.43,244.03
Raft,strong_write,96510,76.75,78.73,79.84,112.85,136.22,156.61,173.64,184.45,207.05,243.99
